vehicle_edge,vehicle_longitude,vehicle_latitude,count
515166950#1,7.584778,45.100623,4600
515166950#1,7.590706,45.10225,4600
515166950#1,7.587149,45.101274,4600
515166950#1,7.591892,45.102576,4600
515166950#1,7.58952,45.101925,4600
515166950#1,7.588335,45.101599,4600
515166950#1,7.585964,45.100948,4600
515166950#1,7.583592,45.100297,4600
163689312#2,7.573682,45.096941,4169
163689312#2,7.571849,45.095625,4169
163689312#2,7.57097,45.094942,4169
163689312#2,7.569231,45.093562,4169
163689312#2,7.570093,45.094257,4169
163689312#2,7.572734,45.096305,4169
163689312#2,7.568368,45.092868,4169
163689312#2,7.574694,45.097525,4169
28520017,7.571806,45.095309,3131
28520017,7.569329,45.093357,3131
28520017,7.567707,45.092036,3131
28520017,7.570969,45.094665,3131
28520017,7.572644,45.095951,3131
28520017,7.568518,45.092696,3131
28520017,7.573513,45.096572,3131
28520017,7.570139,45.094017,3131
256066766,7.557573,45.084001,3045
256066766,7.556651,45.083339,3045
256066766,7.555663,45.082727,3045
256066766,7.561064,45.086778,3045
256066766,7.559318,45.08539,3045
256066766,7.558445,45.084695,3045
256066766,7.560191,45.086084,3045
515166950#0,7.599442,45.104671,2656
515166950#0,7.594116,45.103193,2656
515166950#0,7.597312,45.10408,2656
515166950#0,7.598377,45.104376,2656
515166950#0,7.596247,45.103784,2656
515166950#0,7.595181,45.103489,2656
515166950#0,7.593051,45.102897,2656
515166948#1,7.592898,45.102652,2502
515166948#1,7.593961,45.102954,2502
515166948#1,7.588627,45.101471,2502
515166948#1,7.589696,45.101765,2502
515166948#1,7.595025,45.103257,2502
515166948#1,7.591833,45.102352,2502
515166948#1,7.590764,45.102058,2502
163689313#1,7.579553,45.098968,2374
163689313#1,7.583139,45.09995,2374
163689313#1,7.584334,45.100278,2374
163689313#1,7.581944,45.099623,2374
163689313#1,7.580748,45.099296,2374
223601087,7.752291,45.160798,2094
223601087,7.766079,45.172288,2094
223601087,7.747427,45.156743,2094
223601087,7.773361,45.178381,2094
223601087,7.751481,45.160122,2094
223601087,7.770941,45.176346,2094
223601087,7.748238,45.157418,2094
223601087,7.771748,45.177024,2094
223601087,7.76689,45.172963,2094
223601087,7.763645,45.170261,2094
223601087,7.750671,45.159446,2094
223601087,7.767702,45.173639,2094
223601087,7.745805,45.155391,2094
223601087,7.765267,45.171612,2094
223601087,7.762022,45.168909,2094
223601087,7.749861,45.15877,2094
223601087,7.774168,45.179059,2094
223601087,7.746616,45.156067,2094
223601087,7.762834,45.169585,2094
223601087,7.768513,45.174315,2094
223601087,7.757966,45.16553,2094
