vehicle_edge,vehicle_longitude,vehicle_latitude,count
39260434#2,7.544831,45.056619,3251
39260434#2,7.54347,45.061629,3251
39260434#2,7.543708,45.059936,3251
39260434#2,7.543987,45.059107,3251
39260434#2,7.543519,45.060777,3251
39260434#2,7.544265,45.058277,3251
39260434#2,7.544544,45.057447,3251
515166950#0,7.593051,45.102897,2827
515166950#0,7.595181,45.103489,2827
515166950#0,7.599442,45.104671,2827
515166950#0,7.596247,45.103784,2827
515166950#0,7.598377,45.104376,2827
515166950#0,7.594116,45.103193,2827
515166950#0,7.597312,45.10408,2827
37971591#3,7.544132,45.057892,2731
37971591#3,7.543839,45.058746,2731
37971591#3,7.543201,45.061336,2731
37971591#3,7.544721,45.056184,2731
37971591#3,7.543296,45.06046,2731
37971591#3,7.543547,45.0596,2731
37971591#3,7.544426,45.057038,2731
223601087,7.763645,45.170261,2094
223601087,7.750671,45.159446,2094
223601087,7.765267,45.171612,2094
223601087,7.745805,45.155391,2094
223601087,7.771748,45.177024,2094
223601087,7.772555,45.177703,2094
223601087,7.749861,45.15877,2094
223601087,7.762022,45.168909,2094
223601087,7.76689,45.172963,2094
223601087,7.747427,45.156743,2094
223601087,7.773361,45.178381,2094
223601087,7.751481,45.160122,2094
223601087,7.770941,45.176346,2094
223601087,7.748238,45.157418,2094
223601087,7.766079,45.172288,2094
223601087,7.767702,45.173639,2094
223601087,7.758777,45.166206,2094
223601087,7.762834,45.169585,2094
223601087,7.754722,45.162827,2094
223601087,7.764456,45.170936,2094
223601087,7.752291,45.160798,2094
223601087,7.74905,45.158094,2094
223601087,7.768513,45.174315,2094
223601087,7.757966,45.16553,2094
223601087,7.759589,45.166882,2094
223601087,7.7604,45.167558,2094
223601087,7.770134,45.175667,2094
223601087,7.774168,45.179059,2094
223601087,7.746616,45.156067,2094
223601087,7.757155,45.164855,2094
223601087,7.761211,45.168233,2094
223601087,7.756344,45.164179,2094
223601087,7.769324,45.174991,2094
223601087,7.753912,45.162151,2094
223601087,7.755533,45.163503,2094
223601087,7.753102,45.161475,2094
370608803,7.574476,45.103991,1739
370608803,7.574019,45.104827,1739
370608803,7.574962,45.103164,1739
370608803,7.575448,45.102336,1739
370608803,7.572376,45.107247,1739
370608803,7.57299,45.106464,1739
370608803,7.573527,45.105653,1739
239304403,7.57054,45.108617,1690
239304403,7.56877,45.109578,1690
239304403,7.571394,45.108111,1690
239304403,7.569655,45.109097,1690
239304403,7.567885,45.110058,1690
314832638#2,7.773144,45.153925,1638
314832638#2,7.79461,45.164622,1638
314832638#2,7.787433,45.161078,1638
314832638#2,7.772125,45.153413,1638
314832638#2,7.769057,45.151887,1638
314832638#2,7.778237,45.156489,1638
314832638#2,7.774163,45.154438,1638
314832638#2,7.7762,45.155464,1638
314832638#2,7.771103,45.152904,1638
314832638#2,7.795636,45.165128,1638
314832638#2,7.770081,45.152395,1638
314832638#2,7.782313,45.158541,1638
314832638#2,7.780275,45.157515,1638
314832638#2,7.788458,45.161584,1638
314832638#2,7.796661,45.165634,1638
314832638#2,7.789483,45.162091,1638
314832638#2,7.798712,45.166647,1638
314832638#2,7.784357,45.159559,1638
314832638#2,7.779256,45.157002,1638
314832638#2,7.797686,45.166141,1638
314832638#2,7.792559,45.16361,1638
314832638#2,7.785382,45.160066,1638
314832638#2,7.791534,45.163103,1638
314832638#2,7.781294,45.158028,1638
314832638#2,7.777219,45.155977,1638
314832638#2,7.790509,45.162597,1638
314832638#2,7.783332,45.159053,1638
314832638#2,7.786407,45.160572,1638
314832638#2,7.799737,45.167153,1638
314832638#2,7.775181,45.154951,1638
314832638#2,7.793585,45.164116,1638
39260433,7.583587,45.033816,1565
39260433,7.582435,45.034127,1565
39260433,7.58589,45.033194,1565
39260433,7.584738,45.033505,1565
304450301#1,7.767043,45.172912,1460
304450301#1,7.772658,45.177601,1460
304450301#1,7.773458,45.178272,1460
304450301#1,7.751787,45.160196,1460
304450301#1,7.755787,45.163551,1460
304450301#1,7.744568,45.154169,1460
304450301#1,7.745363,45.154843,1460
304450301#1,7.748578,45.157517,1460
304450301#1,7.736355,45.14646,1460
304450301#1,7.74004,45.149989,1460
304450301#1,7.747771,45.156851,1460
304450301#1,7.768651,45.174249,1460
304450301#1,7.757395,45.164888,1460
304450301#1,7.750988,45.159524,1460
304450301#1,7.738551,45.148585,1460
304450301#1,7.763023,45.169569,1460
304450301#1,7.753386,45.161539,1460
304450301#1,7.739295,45.149287,1460
304450301#1,7.742283,45.152091,1460
304450301#1,7.765435,45.171575,1460
304450301#1,7.74153,45.151393,1460
304450301#1,7.746963,45.156185,1460
304450301#1,7.771858,45.17693,1460
304450301#1,7.766239,45.172243,1460
304450301#1,7.752587,45.160867,1460
304450301#1,7.759806,45.166894,1460
304450301#1,7.762218,45.1689,1460
304450301#1,7.743788,45.153487,1460
304450301#1,7.769455,45.174918,1460
304450301#1,7.763827,45.170238,1460
304450301#1,7.754985,45.162881,1460
304450301#1,7.759003,45.166226,1460
304450301#1,7.764631,45.170906,1460
304450301#1,7.749386,45.158184,1460
304450301#1,7.76061,45.167563,1460
304450301#1,7.746158,45.155517,1460
304450301#1,7.740785,45.150692,1460
304450301#1,7.767847,45.173581,1460
304450301#1,7.737071,45.147176,1460
304450301#1,7.754185,45.16221,1460
304450301#1,7.756591,45.16422,1460
304450301#1,7.770258,45.175587,1460
304450301#1,7.737806,45.147883,1460
304450301#1,7.761414,45.168232,1460
304450301#1,7.743036,45.152789,1460
304450301#1,7.750189,45.158853,1460
304450301#1,7.758199,45.165557,1460
304450301#1,7.771058,45.176259,1460
182840686#1,7.597172,45.104998,1352
182840686#1,7.596456,45.104254,1352
182840686#1,7.595465,45.103708,1352
182840686#1,7.593153,45.102959,1352
182840686#1,7.594312,45.103328,1352
218754064#2,7.71869,44.968864,1342
218754064#2,7.7105,44.970088,1342
218754064#2,7.71635,44.969213,1342
218754064#2,7.712838,44.969733,1342
218754064#2,7.722199,44.968337,1342
218754064#2,7.711669,44.96991,1342
218754064#2,7.723369,44.968161,1342
218754064#2,7.717521,44.96904,1342
218754064#2,7.714008,44.969558,1342
218754064#2,7.715179,44.969386,1342
218754064#2,7.724539,44.967985,1342
218754064#2,7.72103,44.968513,1342
218754064#2,7.725709,44.967809,1342
218754064#2,7.71986,44.968689,1342
39260434#5,7.54539,45.068533,1337
39260434#5,7.544908,45.067017,1337
39260434#5,7.545149,45.067775,1337
39260434#5,7.544667,45.06626,1337
80631640#4,7.558819,44.988754,1331
80631640#4,7.559294,44.989581,1331
80631640#4,7.562022,44.994562,1331
80631640#4,7.557477,44.98725,1331
80631640#4,7.558203,44.98798,1331
80631640#4,7.560046,44.991285,1331
80631640#4,7.560416,44.992139,1331
80631640#4,7.562998,44.996203,1331
80631640#4,7.562562,44.995369,1331
80631640#4,7.556009,44.985799,1331
80631640#4,7.563278,44.997072,1331
80631640#4,7.560882,44.992969,1331
80631640#4,7.561449,44.993766,1331
80631640#4,7.556732,44.986531,1331
80631640#4,7.559678,44.990431,1331
37928255#1,7.559497,44.989442,1288
37928255#1,7.560227,44.991123,1288
37928255#1,7.562634,44.995164,1288
37928255#1,7.561006,44.992792,1288
37928255#1,7.558372,44.987883,1288
37928255#1,7.555542,44.984995,1288
37928255#1,7.563124,44.995971,1288
37928255#1,7.557651,44.987167,1288
37928255#1,7.558998,44.988638,1288
37928255#1,7.556212,44.985735,1288
37928255#1,7.562095,44.994372,1288
37928255#1,7.559868,44.990281,1288
37928255#1,7.563491,44.99681,1288
37928255#1,7.561537,44.993586,1288
37928255#1,7.556909,44.986462,1288
37928255#1,7.560565,44.99197,1288
37971591#0,7.544563,45.066753,1280
37971591#0,7.545309,45.069185,1280
37971591#0,7.544812,45.067563,1280
37971591#0,7.54506,45.068374,1280
37975347#0,7.555837,45.058721,1276
37975347#0,7.549737,45.061371,1276
37975347#0,7.550765,45.060946,1276
37975347#0,7.552794,45.060055,1276
37975347#0,7.551779,45.0605,1276
37975347#0,7.556847,45.058272,1276
37975347#0,7.554825,45.059168,1276
37975347#0,7.553809,45.059612,1276
30250839,7.688157,44.970223,1245
30250839,7.682096,44.969771,1245
30250839,7.672608,44.971174,1245
30250839,7.686946,44.970117,1245
30250839,7.684524,44.969906,1245
30250839,7.678449,44.969942,1245
30250839,7.685735,44.970011,1245
