vehicle_edge,vehicle_longitude,vehicle_latitude,count
37971591#3,7.545016,45.05533,8110
37971591#3,7.547682,45.047648,8110
37971591#3,7.546788,45.050208,8110
37971591#3,7.550481,45.043777,8110
37971591#3,7.546492,45.051061,8110
37971591#3,7.552273,45.042568,8110
37971591#3,7.55549,45.041266,8110
37971591#3,7.554359,45.041625,8110
37971591#3,7.553282,45.042058,8110
37971591#3,7.548471,45.045985,8110
37971591#3,7.545311,45.054476,8110
37971591#3,7.547383,45.048501,8110
37971591#3,7.556645,45.040947,8110
37971591#3,7.551333,45.04314,8110
37971591#3,7.545901,45.052769,8110
37971591#3,7.549051,45.045209,8110
37971591#3,7.548019,45.046803,8110
37971591#3,7.544721,45.056184,8110
37971591#3,7.545606,45.053623,8110
37971591#3,7.546196,45.051915,8110
37971591#3,7.547084,45.049354,8110
37971591#3,7.54972,45.044469,8110
37971591#3,7.557801,45.040628,8110
39260434#2,7.54512,45.055791,6623
39260434#2,7.545698,45.054135,6623
39260434#2,7.550825,45.043791,6623
39260434#2,7.551667,45.043184,6623
39260434#2,7.546276,45.05248,6623
39260434#2,7.55574,45.041407,6623
39260434#2,7.547145,45.049997,6623
39260434#2,7.547435,45.049169,6623
39260434#2,7.550073,45.044456,6623
39260434#2,7.548355,45.046696,6623
39260434#2,7.544831,45.056619,6623
39260434#2,7.55358,45.042153,6623
39260434#2,7.545987,45.053308,6623
39260434#2,7.554637,45.041747,6623
39260434#2,7.545409,45.054963,6623
39260434#2,7.556861,45.041099,6623
39260434#2,7.549408,45.045166,6623
39260434#2,7.557984,45.040792,6623
39260434#2,7.559105,45.040484,6623
39260434#2,7.546855,45.050824,6623
39260434#2,7.547722,45.048341,6623
39260434#2,7.552592,45.042638,6623
39260434#2,7.546565,45.051652,6623
39260434#2,7.548834,45.045915,6623
39260434#2,7.548009,45.047512,6623
39260433,7.57898,45.035061,4428
39260433,7.572069,45.036928,4428
39260433,7.584738,45.033505,4428
39260433,7.576676,45.035683,4428
39260433,7.573221,45.036617,4428
39260433,7.575525,45.035994,4428
39260433,7.574373,45.036306,4428
39260433,7.577828,45.035372,4428
39260433,7.583587,45.033816,4428
39260433,7.580131,45.03475,4428
39260433,7.582435,45.034127,4428
39260433,7.581283,45.034438,4428
39260440,7.579989,45.034551,3313
39260440,7.581127,45.034237,3313
39260440,7.578851,45.034864,3313
39260440,7.57088,45.037057,3313
39260440,7.584542,45.033296,3313
39260440,7.576574,45.035492,3313
39260440,7.582266,45.033923,3313
39260440,7.583404,45.033609,3313
39260440,7.577712,45.035178,3313
39260440,7.573159,45.036433,3313
39260440,7.574297,45.036119,3313
39260440,7.575436,45.035805,3313
39260440,7.57202,45.036746,3313
515166950#0,7.594116,45.103193,2823
515166950#0,7.599442,45.104671,2823
515166950#0,7.598377,45.104376,2823
515166950#0,7.596247,45.103784,2823
515166950#0,7.597312,45.10408,2823
515166950#0,7.595181,45.103489,2823
515166950#0,7.593051,45.102897,2823
223601087,7.754722,45.162827,2094
223601087,7.768513,45.174315,2094
223601087,7.758777,45.166206,2094
223601087,7.749861,45.15877,2094
223601087,7.750671,45.159446,2094
223601087,7.746616,45.156067,2094
223601087,7.770134,45.175667,2094
223601087,7.7604,45.167558,2094
223601087,7.759589,45.166882,2094
223601087,7.757966,45.16553,2094
223601087,7.74905,45.158094,2094
223601087,7.764456,45.170936,2094
223601087,7.774168,45.179059,2094
223601087,7.752291,45.160798,2094
223601087,7.762834,45.169585,2094
223601087,7.762022,45.168909,2094
223601087,7.767702,45.173639,2094
223601087,7.745805,45.155391,2094
223601087,7.765267,45.171612,2094
223601087,7.772555,45.177703,2094
223601087,7.747427,45.156743,2094
223601087,7.753102,45.161475,2094
223601087,7.751481,45.160122,2094
223601087,7.757155,45.164855,2094
223601087,7.756344,45.164179,2094
223601087,7.769324,45.174991,2094
223601087,7.753912,45.162151,2094
223601087,7.755533,45.163503,2094
223601087,7.773361,45.178381,2094
223601087,7.770941,45.176346,2094
223601087,7.748238,45.157418,2094
223601087,7.766079,45.172288,2094
223601087,7.76689,45.172963,2094
223601087,7.763645,45.170261,2094
223601087,7.771748,45.177024,2094
223601087,7.761211,45.168233,2094
39260434#1,7.563175,45.039369,1730
39260434#1,7.567822,45.038094,1730
39260434#1,7.562013,45.039688,1730
