vehicle_edge,vehicle_longitude,vehicle_latitude,count
39260434#2,7.545987,45.053308,2264
39260434#2,7.546276,45.05248,2264
39260434#2,7.54512,45.055791,2264
39260434#2,7.545409,45.054963,2264
39260434#2,7.545698,45.054135,2264
39260434#2,7.544831,45.056619,2264
515166950#0,7.597312,45.10408,2186
515166950#0,7.594116,45.103193,2186
515166950#0,7.598377,45.104376,2186
515166950#0,7.595181,45.103489,2186
515166950#0,7.599442,45.104671,2186
515166950#0,7.596247,45.103784,2186
37971591#3,7.545311,45.054476,2131
37971591#3,7.545901,45.052769,2131
37971591#3,7.544721,45.056184,2131
37971591#3,7.545016,45.05533,2131
37971591#3,7.545606,45.053623,2131
37971591#3,7.546196,45.051915,2131
223601087,7.774168,45.179059,2094
223601087,7.758777,45.166206,2094
223601087,7.764456,45.170936,2094
223601087,7.755533,45.163503,2094
223601087,7.753912,45.162151,2094
223601087,7.769324,45.174991,2094
223601087,7.756344,45.164179,2094
223601087,7.761211,45.168233,2094
223601087,7.757155,45.164855,2094
223601087,7.753102,45.161475,2094
223601087,7.746616,45.156067,2094
223601087,7.754722,45.162827,2094
223601087,7.770134,45.175667,2094
223601087,7.772555,45.177703,2094
223601087,7.762022,45.168909,2094
223601087,7.749861,45.15877,2094
223601087,7.750671,45.159446,2094
223601087,7.759589,45.166882,2094
223601087,7.747427,45.156743,2094
223601087,7.773361,45.178381,2094
223601087,7.751481,45.160122,2094
223601087,7.770941,45.176346,2094
223601087,7.748238,45.157418,2094
223601087,7.766079,45.172288,2094
223601087,7.76689,45.172963,2094
223601087,7.763645,45.170261,2094
223601087,7.771748,45.177024,2094
223601087,7.767702,45.173639,2094
223601087,7.7604,45.167558,2094
223601087,7.745805,45.155391,2094
223601087,7.757966,45.16553,2094
223601087,7.74905,45.158094,2094
223601087,7.752291,45.160798,2094
223601087,7.762834,45.169585,2094
223601087,7.768513,45.174315,2094
223601087,7.765267,45.171612,2094
37928255#1,7.559868,44.990281,1952
37928255#1,7.565522,45.004539,1952
37928255#1,7.561537,44.993586,1952
37928255#1,7.563491,44.99681,1952
37928255#1,7.559497,44.989442,1952
37928255#1,7.562095,44.994372,1952
37928255#1,7.564957,45.003758,1952
37928255#1,7.564416,45.002047,1952
37928255#1,7.560227,44.991123,1952
37928255#1,7.556212,44.985735,1952
37928255#1,7.556909,44.986462,1952
37928255#1,7.564611,45.002916,1952
37928255#1,7.558998,44.988638,1952
37928255#1,7.563977,44.999426,1952
37928255#1,7.557651,44.987167,1952
37928255#1,7.563654,44.997682,1952
37928255#1,7.56427,45.001174,1952
37928255#1,7.564123,45.0003,1952
37928255#1,7.562634,44.995164,1952
37928255#1,7.555542,44.984995,1952
37928255#1,7.561006,44.992792,1952
37928255#1,7.560565,44.99197,1952
37928255#1,7.563817,44.998554,1952
37928255#1,7.563124,44.995971,1952
37928255#1,7.558372,44.987883,1952
80631640#4,7.563607,44.998844,1863
80631640#4,7.556009,44.985799,1863
80631640#4,7.558203,44.98798,1863
80631640#4,7.560046,44.991285,1863
80631640#4,7.564045,45.001506,1863
80631640#4,7.560416,44.992139,1863
80631640#4,7.562998,44.996203,1863
80631640#4,7.564187,45.002393,1863
80631640#4,7.562562,44.995369,1863
80631640#4,7.559678,44.990431,1863
80631640#4,7.556732,44.986531,1863
80631640#4,7.563278,44.997072,1863
80631640#4,7.557477,44.98725,1863
80631640#4,7.560882,44.992969,1863
80631640#4,7.558819,44.988754,1863
80631640#4,7.563902,45.000618,1863
80631640#4,7.563443,44.997958,1863
80631640#4,7.559294,44.989581,1863
80631640#4,7.563759,44.999731,1863
80631640#4,7.562022,44.994562,1863
80631640#4,7.561449,44.993766,1863
37983083#2,7.653543,44.97693,1616
37983083#2,7.655603,44.975994,1616
37983083#2,7.650578,44.978464,1616
37983083#2,7.646863,44.980723,1616
37983083#2,7.652532,44.977419,1616
37983083#2,7.657734,44.975141,1616
37983083#2,7.661052,44.974029,1616
37983083#2,7.658828,44.974752,1616
37983083#2,7.648693,44.97957,1616
37983083#2,7.659935,44.974384,1616
37983083#2,7.649635,44.979017,1616
37983083#2,7.647778,44.980147,1616
37983083#2,7.651545,44.977932,1616
37983083#2,7.654565,44.976453,1616
37983083#2,7.65666,44.975557,1616
304450301#1,7.761414,45.168232,1462
304450301#1,7.742283,45.152091,1462
304450301#1,7.743036,45.152789,1462
304450301#1,7.765435,45.171575,1462
304450301#1,7.74153,45.151393,1462
304450301#1,7.767847,45.173581,1462
304450301#1,7.737806,45.147883,1462
304450301#1,7.773458,45.178272,1462
304450301#1,7.771058,45.176259,1462
304450301#1,7.767043,45.172912,1462
304450301#1,7.750189,45.158853,1462
304450301#1,7.771858,45.17693,1462
304450301#1,7.754185,45.16221,1462
304450301#1,7.756591,45.16422,1462
304450301#1,7.769455,45.174918,1462
304450301#1,7.737071,45.147176,1462
304450301#1,7.745363,45.154843,1462
304450301#1,7.766239,45.172243,1462
304450301#1,7.752587,45.160867,1462
304450301#1,7.740785,45.150692,1462
304450301#1,7.770258,45.175587,1462
304450301#1,7.746158,45.155517,1462
304450301#1,7.749386,45.158184,1462
304450301#1,7.764631,45.170906,1462
304450301#1,7.759003,45.166226,1462
304450301#1,7.754985,45.162881,1462
304450301#1,7.763827,45.170238,1462
304450301#1,7.738551,45.148585,1462
304450301#1,7.762218,45.1689,1462
304450301#1,7.759806,45.166894,1462
304450301#1,7.758199,45.165557,1462
304450301#1,7.76061,45.167563,1462
304450301#1,7.743788,45.153487,1462
304450301#1,7.763023,45.169569,1462
304450301#1,7.755787,45.163551,1462
304450301#1,7.750988,45.159524,1462
304450301#1,7.757395,45.164888,1462
304450301#1,7.739295,45.149287,1462
304450301#1,7.768651,45.174249,1462
304450301#1,7.747771,45.156851,1462
304450301#1,7.74004,45.149989,1462
304450301#1,7.736355,45.14646,1462
304450301#1,7.748578,45.157517,1462
304450301#1,7.753386,45.161539,1462
304450301#1,7.744568,45.154169,1462
304450301#1,7.772658,45.177601,1462
304450301#1,7.751787,45.160196,1462
304450301#1,7.746963,45.156185,1462
37975347#0,7.553809,45.059612,1412
37975347#0,7.558878,45.057384,1412
37975347#0,7.554825,45.059168,1412
37975347#0,7.556847,45.058272,1412
37975347#0,7.555837,45.058721,1412
37975347#0,7.550765,45.060946,1412
37975347#0,7.557861,45.057826,1412
37975347#0,7.552794,45.060055,1412
37975347#0,7.551779,45.0605,1412
80631640#2,7.568959,45.00693,1402
80631640#2,7.566964,45.005956,1402
80631640#2,7.572142,45.008179,1402
80631640#2,7.575328,45.009425,1402
80631640#2,7.570019,45.007348,1402
80631640#2,7.578493,45.010698,1402
80631640#2,7.571081,45.007763,1402
80631640#2,7.574266,45.00901,1402
80631640#2,7.576384,45.009848,1402
80631640#2,7.573204,45.008594,1402
80631640#2,7.567934,45.006472,1402
80631640#2,7.579547,45.011123,1402
80631640#2,7.577439,45.010273,1402
39260433,7.582435,45.034127,1324
39260433,7.584738,45.033505,1324
39260433,7.58589,45.033194,1324
39260433,7.583587,45.033816,1324
594646040#0,7.622523,44.988598,1294
594646040#0,7.624062,44.990028,1294
594646040#0,7.623293,44.989313,1294
594646040#0,7.624859,44.990728,1294
594646040#0,7.625737,44.991374,1294
594646040#0,7.621753,44.987883,1294
515166948#2,7.596683,45.103724,1209
515166948#2,7.602014,45.105221,1209
515166948#2,7.60095,45.104918,1209
515166948#2,7.599885,45.104616,1209
515166948#2,7.604117,45.105868,1209
515166948#2,7.59775,45.104021,1209
515166948#2,7.598818,45.104318,1209
515166948#2,7.603079,45.105523,1209
-69883347#4,7.667149,45.160333,1203
-69883347#4,7.666437,45.159687,1203
-69883347#4,7.668817,45.161525,1203
-69883347#4,7.668073,45.160865,1203
-69883347#4,7.671404,45.163072,1203
-69883347#4,7.665611,45.159094,1203
-69883347#4,7.669544,45.162195,1203
-69883347#4,7.670534,45.162496,1203
218754064#2,7.71869,44.968864,1171
218754064#2,7.724539,44.967985,1171
218754064#2,7.712838,44.969733,1171
218754064#2,7.725709,44.967809,1171
218754064#2,7.71986,44.968689,1171
218754064#2,7.723369,44.968161,1171
218754064#2,7.7105,44.970088,1171
218754064#2,7.711669,44.96991,1171
218754064#2,7.722199,44.968337,1171
218754064#2,7.717521,44.96904,1171
218754064#2,7.71635,44.969213,1171
218754064#2,7.72103,44.968513,1171
218754064#2,7.715179,44.969386,1171
218754064#2,7.714008,44.969558,1171
81833989,7.575745,45.079116,1156
81833989,7.579334,45.077267,1156
81833989,7.577258,45.077923,1156
81833989,7.576468,45.078494,1156
81833989,7.578292,45.077589,1156
81833989,7.580377,45.076946,1156
314832638#2,7.781294,45.158028,1081
314832638#2,7.798712,45.166647,1081
314832638#2,7.792559,45.16361,1081
314832638#2,7.768033,45.15138,1081
314832638#2,7.765984,45.150365,1081
314832638#2,7.787433,45.161078,1081
314832638#2,7.775181,45.154951,1081
314832638#2,7.784357,45.159559,1081
314832638#2,7.785382,45.160066,1081
314832638#2,7.795636,45.165128,1081
314832638#2,7.797686,45.166141,1081
314832638#2,7.783332,45.159053,1081
314832638#2,7.80689,45.170723,1081
314832638#2,7.767009,45.150872,1081
314832638#2,7.805868,45.170213,1081
314832638#2,7.800759,45.167663,1081
314832638#2,7.802803,45.168683,1081
314832638#2,7.803824,45.169193,1081
314832638#2,7.789483,45.162091,1081
314832638#2,7.771103,45.152904,1081
314832638#2,7.782313,45.158541,1081
314832638#2,7.793585,45.164116,1081
314832638#2,7.790509,45.162597,1081
314832638#2,7.796661,45.165634,1081
314832638#2,7.788458,45.161584,1081
314832638#2,7.791534,45.163103,1081
314832638#2,7.780275,45.157515,1081
314832638#2,7.777219,45.155977,1081
314832638#2,7.779256,45.157002,1081
314832638#2,7.786407,45.160572,1081
314832638#2,7.801781,45.168173,1081
314832638#2,7.770081,45.152395,1081
314832638#2,7.772125,45.153413,1081
314832638#2,7.7762,45.155464,1081
314832638#2,7.799737,45.167153,1081
314832638#2,7.774163,45.154438,1081
314832638#2,7.79461,45.164622,1081
314832638#2,7.773144,45.153925,1081
314832638#2,7.769057,45.151887,1081
314832638#2,7.778237,45.156489,1081
182840686#1,7.596456,45.104254,1056
182840686#1,7.597172,45.104998,1056
182840686#1,7.595465,45.103708,1056
182840686#1,7.594312,45.103328,1056
-497505369,7.539849,44.995586,1023
-497505369,7.542332,44.995446,1023
-497505369,7.541088,44.995493,1023
-497505369,7.53613,44.995854,1023
-497505369,7.544794,44.995685,1023
-497505369,7.53861,44.99568,1023
-497505369,7.543573,44.995512,1023
-497505369,7.533649,44.996026,1023
-497505369,7.534889,44.99594,1023
-497505369,7.53737,44.995768,1023
-69716817,7.547905,45.117455,940
-69716817,7.545274,45.117614,940
-69716817,7.549173,45.117195,940
-69716817,7.550377,45.116806,940
-69716817,7.552765,45.115997,940
-69716817,7.546596,45.117567,940
-69716817,7.551571,45.116402,940
111760278#0,7.579389,45.07295,931
111760278#0,7.578147,45.072893,931
385670504,7.62544,44.993821,904
385670504,7.625904,44.995392,904
385670504,7.626186,44.992326,904
385670504,7.625797,44.993068,904
385670504,7.625647,44.994609,904
15215737#0,7.690069,44.991178,875
15215737#0,7.686882,44.992381,875
15215737#0,7.691128,44.990772,875
15215737#0,7.687946,44.991982,875
15215737#0,7.689008,44.99158,875
28281075,7.598896,45.104256,867
28281075,7.597805,45.10395,867
28281075,7.59999,45.104555,867
28281075,7.60343,45.104514,867
28281075,7.602295,45.104722,867
28281075,7.60113,45.104745,867
28281075,7.596706,45.103663,867
39260440,7.583404,45.033609,851
39260440,7.582266,45.033923,851
39260440,7.584542,45.033296,851
130009195#0,7.578723,45.05258,842
130009195#0,7.582411,45.052437,842
130009195#0,7.584869,45.052342,842
130009195#0,7.581181,45.052485,842
130009195#0,7.579952,45.052532,842
130009195#0,7.58364,45.052389,842
515166949,7.602187,45.10546,799
515166949,7.600932,45.105105,799
24204882,7.693374,44.989695,798
24204882,7.692464,44.990213,798
24204882,7.694256,44.989155,798
24204882,7.694891,44.988471,798
182840686#0,7.599773,45.105925,783
182840686#0,7.598042,45.105587,783
182840686#0,7.598857,45.105881,783
515166948#1,7.595025,45.103257,779
515166948#1,7.593961,45.102954,779
80631640#1,7.58071,45.011565,774
80631640#1,7.584171,45.012909,774
80631640#1,7.583022,45.012454,774
80631640#1,7.581869,45.012005,774
67239390#3,7.772171,45.140264,755
368686049,7.770023,45.139134,734
111760278#1,7.576722,45.072835,726
37981517,7.629849,44.992887,702
37981517,7.630005,44.994157,702
37981517,7.628915,44.994102,702
37981517,7.630537,44.993489,702
37983096,7.676146,44.970553,695
37983096,7.6785,44.97014,695
37983096,7.674991,44.970819,695
37983096,7.680916,44.969972,695
37983096,7.673838,44.971091,695
37983096,7.689366,44.970556,695
37983096,7.679705,44.970031,695
37983096,7.68213,44.969978,695
37983096,7.685752,44.970231,695
37983096,7.67731,44.97031,695
37983096,7.686957,44.97034,695
37983096,7.688162,44.970448,695
37983096,7.684547,44.970123,695
37983096,7.683342,44.970014,695
223603540#0,7.802667,45.168862,687
223603540#0,7.788371,45.161804,687
223603540#0,7.801649,45.168354,687
223603540#0,7.778192,45.156732,687
223603540#0,7.787349,45.161301,687
223603540#0,7.79246,45.163816,687
223603540#0,7.782246,45.158779,687
223603540#0,7.780219,45.157755,687
223603540#0,7.781232,45.158267,687
223603540#0,7.779205,45.157244,687
223603540#0,7.776165,45.155709,687
223603540#0,7.800632,45.167846,687
223603540#0,7.784283,45.159792,687
223603540#0,7.799615,45.167337,687
223603540#0,7.770079,45.152644,687
223603540#0,7.774138,45.154685,687
223603540#0,7.786327,45.160798,687
223603540#0,7.777178,45.15622,687
223603540#0,7.797572,45.16633,687
223603540#0,7.773125,45.154173,687
223603540#0,7.769045,45.152154,687
223603540#0,7.803686,45.169368,687
223603540#0,7.806742,45.170888,687
223603540#0,7.771095,45.153153,687
223603540#0,7.785305,45.160295,687
223603540#0,7.798594,45.166833,687
223603540#0,7.795527,45.165325,687
223603540#0,7.790416,45.16281,687
223603540#0,7.767996,45.151679,687
223603540#0,7.789394,45.162307,687
223603540#0,7.775152,45.155197,687
223603540#0,7.805723,45.170381,687
223603540#0,7.804705,45.169875,687
223603540#0,7.793482,45.164319,687
223603540#0,7.791438,45.163313,687
223603540#0,7.794505,45.164822,687
223603540#0,7.772112,45.153662,687
