timestamp,site_id,number_vehicles
180,1010825,1
180,1010843,1
180,1005053,1
180,1005158,1
180,1005159,1
180,1004796,1
180,1005603,1
180,1005605,1
180,1005694,1
180,1005174,1
180,1004740,1
180,1001476,1
180,1004360,1
180,1004551,1
180,1002865,1
180,1008063,1
180,1007623,1
180,1010200,1
180,1006453,1
180,1006308,1
180,1006161,1
180,1006181,1
180,1006201,1
180,1006680,1
180,1007562,1
180,1007239,1
180,1001160,1
180,1001162,2
180,1004241,2
180,1001277,2
180,1004474,2
180,1002137,2
180,1003038,2
180,1002463,2
180,1003512,2
180,1002568,2
180,1001166,2
180,1007005,2
180,1007267,2
180,1006324,2
180,1007774,2
180,1009556,2
180,1010075,2
180,1007614,2
180,1009262,2
180,1007891,2
180,1008902,2
180,1008651,2
180,1010904,2
180,1010826,2
180,1010320,2
180,1010501,2
180,1010792,2
180,1010719,2
180,1004703,2
180,1005046,2
180,1005175,2
180,1006017,2
180,1005823,2
180,1005276,2
180,1005275,2
180,1005256,2
180,1005176,2
180,1005294,2
180,1005350,2
180,1007155,3
180,1001475,3
180,1007246,3
180,1001164,3
180,1001165,3
180,1008061,3
180,1005117,3
180,1005292,3
180,1005293,3
180,1002569,3
180,1002755,3
180,1006240,3
180,1003379,3
180,1006411,3
180,1010292,3
180,1010573,3
180,1011016,3
180,1011424,3
180,1009286,3
180,1008257,3
180,1008298,3
180,1010074,3
180,1006325,4
180,1006293,4
180,1006202,4
180,1005862,4
180,1005450,4
180,1005373,4
180,1005604,4
180,1010709,4
180,1010083,4
180,1007369,4
180,1008609,4
180,1008863,4
180,1009527,4
180,1006586,4
180,1006375,4
180,1006972,4
180,1001171,4
180,1004635,4
180,1004191,4
180,1004706,4
180,1003601,4
180,1003390,4
180,1001280,4
180,1003754,4
180,1002127,4
180,1004793,4
180,1005037,4
180,1005023,4
180,1001163,4
180,1006968,5
180,1007475,5
180,1004094,5
180,1001666,5
180,1009312,5
180,1001471,5
180,1007834,5
180,1010794,5
180,1006180,5
180,1006320,5
180,1005822,5
180,1005920,5
180,1006512,5
180,1006661,5
180,1006845,5
180,1004548,5
180,1006365,5
180,1006326,5
180,1007139,6
180,1004553,6
180,1007168,6
180,1006517,6
180,1010718,6
180,1008467,6
180,1001367,7
180,1007388,7
180,1001282,7
180,1009507,7
180,1010101,7
180,1003771,7
180,1008151,7
180,1005052,7
