node_id,site_lat,site_long,site_name
202498,45.045003,7.6609632,"Torino Corso Unione Sovietica, 91"
202499,45.0450073,7.6609574,Torino
202789,45.0336684,7.67461,"Torino Via Gianfranco Zuretti, 29"
202790,45.0336628,7.67461,Torino
202792,45.0785114,7.6330979,"Torino Via Baveno, 46"
202793,45.119487,7.7447502,"Torino Strada Settimo, 366"
202794,45.1194885,7.7447491,Torino
202795,45.0353652,7.667221,Torino Via Ermanno Fenoglietti c/o Eataly
202796,45.0354609,7.6667078,Torino Via Ermanno Fenoglietti c/o Eataly
202880,45.1078354,7.6248151,Torino Corso Ferrara
202881,45.1078336,7.6248155,Torino
202882,45.1306588,7.7162796,"Torino Via degli Ulivi, 37"
202883,45.1306553,7.7162837,Torino
202884,45.0694112,7.667046,"Torino Corso Matteotti, 42"
202885,45.0694162,7.6670518,Torino
202892,45.0709809,7.6325739,"Torino Corso Peschiera, 275"
202893,45.0709787,7.6325737,Torino
202894,45.098398,7.6518157,Torino Corso Toscana
202895,45.0983955,7.6518115,Torino
202941,45.1081353,7.6848857,"Torino Via Ala di Stura, 77/C"
202942,45.1081317,7.6848837,Torino
202943,45.1095835,7.6653863,"Torino Via Giorgio De Geneys, 18"
202944,45.1049542,7.6765101,"Torino Corso Grosseto, 122"
202945,45.0701624,7.6182357,"Torino Via Francesco De Sanctis, 54"
202946,45.0701612,7.6182341,Torino
202947,45.031657,7.6513648,"Torino Corso Eusebio Giambone, 43"
202948,45.0316517,7.6513597,Torino
203016,45.0574888,7.6623572,"Torino Via Cristoforo Colombo, 26"
203017,45.0574871,7.6623589,Torino
203052,45.0751798,7.656577,Torino Via Susa
203053,45.0751768,7.6565795,Torino
203126,45.0717145,7.6420632,"Torino Via Capriolo, 18"
203127,45.081309,7.6952016,"Torino Via Carlo Pedrotti, 5"
203128,45.0813089,7.695199,Torino
203133,45.0847776,7.6795877,"Torino Strada del Fortino, 28"
203134,45.1043109,7.6948546,"Torino Piazza Rebaudengo, 21"
203135,45.1043082,7.6948554,Torino
203136,45.0661518,7.6923792,"Torino Via Principe Amedeo, 47"
203137,45.1012946,7.6388411,"Torino Corso Molise, 32"
203138,45.101298,7.6388354,Torino
203146,45.0762481,7.6858975,Torino
203147,45.1171162,7.7009392,Torino Strada dell'Antioca
203149,45.061166,7.6392871,Torino Telecom Via Lancia
203150,45.061164,7.639287,Torino
203171,45.0922193,7.6777202,"Torino Via Stradella, 30"
203172,45.0922223,7.677718,Torino
203193,45.0099864,7.6852239,Moncalieri Strada Torino
203194,45.0732624,7.6717159,"Torino Via Bertola, 49"
203195,45.0732675,7.6717116,Torino
203229,45.0796768,7.6839737,"Torino Via Borgo Dora, 22"
203230,45.0796794,7.6839707,Torino
203231,45.0422031,7.6723085,"Torino Corso Bramante, 80"
203232,45.0422019,7.6723088,Torino
203233,45.0996601,7.6592696,"Torino Corso Potenza, 135"
203234,45.0996594,7.6592689,Torino
203235,45.0477181,7.6799535,"Torino Corso Massimo D'Azeglio, 21"
203236,45.074647,7.6978834,"Torino Lungo Dora Firenze, 129"
203237,45.0746516,7.6978863,Torino
203241,45.099025,7.6813149,"Torino Via Breglio, 34"
203242,45.0990264,7.6813118,Torino
203243,45.0649997,7.6817589,"Torino Via Piero Gobetti, 15"
203244,45.0650041,7.6817602,Torino
203256,45.0794895,7.6370605,"Torino Corso Monte Grappa, 39"
203257,45.0794862,7.6370595,"Torino Corso Monte Grappa, 39"
203270,45.0239701,7.6545573,"Torino Via Passo Buole, 59"
203306,45.0901086,7.6890236,"Torino Corso Vercelli, 64"
203307,45.0901074,7.689023,Torino
203314,45.0493338,7.6613507,"Torino Corso Re Umberto, 139"
203315,45.0493291,7.6613479,Torino
203317,45.0733881,7.7242215,"Torino Via Oropa, 134"
203318,45.073391,7.724224,Torino
203347,45.0899075,7.7011177,Torino
203348,45.087254,7.6994175,Torino Via Giovanni Pacini
203349,45.1261071,7.6627218,Torino Svincolo Uscita Borgaro
203350,45.1261022,7.6627219,Torino
203387,45.0562884,7.6524446,"Torino Corso Lione, 70"
203388,45.0562884,7.6524466,Torino
203389,45.0624146,7.629463,"Torino Corso Monte Cucco, 146"
203390,45.0624092,7.6294611,Torino
203393,45.1083945,7.6512853,"Torino Via Andrea Sansovino, 217"
203394,45.1083888,7.6512856,Torino
203395,45.065432,7.6956943,"Torino Piazza Vittorio Veneto, 13"
203396,45.0685059,7.6436196,Torino
203397,45.0692828,7.6401694,"Torino Via Frassineto, 40"
203398,45.0739042,7.7172567,"Torino Corso Belgio, 95"
203400,45.0362555,7.623685,"Torino Corso Enrico Tazzoli, 160"
203430,45.0963241,7.6940525,"Torino Via Renato Martorelli, 52"
203431,45.0963215,7.6940496,Torino
203467,45.0382279,7.6566014,"Torino Via Filadelfia, 42"
203468,45.0382331,7.6566061,Torino
203483,45.0789478,7.6494615,"Torino Corso Svizzera, 29"
203484,45.0789475,7.6494609,Torino
203485,45.0728902,7.6292445,"Torino Corso Peschiera, 342"
203486,45.0728911,7.6292426,Torino
203524,45.0741137,7.6413894,"Torino Corso Trapani, 16"
203597,45.023533,7.6675091,"Torino Via Ventimiglia, 156"
203659,45.03908,7.6517871,"Torino Corso Unione Sovietica, 214"
