step,vehicle_id,site_id
180,22846,204237
180,26445,901398
180,5498,900140
180,685,206840
180,10154,901329
180,10357,900467
180,20451,204460
180,7228,901251
180,2823,900927
180,29849,901438
180,30089,900972
180,7911,900029
180,8721,900055
180,1770,900027
180,29150,203193
180,7996,203398
180,19791,202499
180,3306,206380
180,5317,901183
180,10002,901286
180,18758,901092
180,20360,204327
180,23448,205135
180,29673,204818
180,11186,900041
180,15793,901107
180,29425,900515
180,3531,900356
180,11527,900903
180,28745,900250
180,7782,900488
180,8146,901279
180,11038,900339
180,1214,900359
180,20887,900017
180,29341,
180,6509,202885
180,278,203147
180,17994,900047
180,25964,901398
180,7065,900327
180,11128,900339
180,14034,901107
180,14508,900114
180,23097,901209
180,2693,205137
180,6440,900198
180,13840,205207
180,15953,204812
180,23720,900133
180,27368,900015
180,5485,203390
180,7680,900488
180,16192,901237
180,19762,901861
180,23659,900133
180,27995,900250
180,29394,900515
180,14035,901107
180,29032,203193
180,3978,202792
180,7407,205716
180,8562,900022
180,9690,900016
180,15632,901107
180,1951,900402
180,20653,901179
180,24062,900133
180,29912,900024
180,16637,900877
180,20600,901179
180,20937,900337
180,22457,203193
180,23248,900972
180,26980,
180,27523,900892
180,5131,900033
180,14136,901107
180,4417,900019
180,1148,900194
180,18808,203400
180,24345,901234
180,17969,203235
180,26527,900194
180,29351,
180,12737,206207
180,15085,900114
180,26280,900194
180,4447,900935
180,7685,900488
180,15893,204601
180,23148,900876
180,29590,900095
180,588,900983
180,15546,901107
180,15834,900021
180,7940,203398
180,8360,900877
180,11940,203395
180,22738,204608
180,26111,900140
180,46,204093
180,5274,900026
180,7224,901251
180,9103,900091
180,20786,203400
180,21332,202795
180,5770,901131
180,829,900032
180,19012,901390
180,24894,900010
180,4476,900019
180,7441,205716
180,24779,
180,2524,900063
180,17830,900014
180,18361,900047
180,23407,202883
180,26083,901398
180,18464,900047
180,21293,901752
180,23210,
180,23308,
180,24559,900194
180,3278,203147
180,412,900032
180,10051,901268
180,10621,900327
180,29600,204818
180,3988,202792
180,8020,203398
180,12767,900373
180,13777,205207
180,19362,900659
180,23368,202882
180,25036,900022
180,3587,205245
180,9631,203486
180,10838,204046
180,14471,900114
180,18704,900072
180,23911,900286
180,24556,900194
180,26107,900357
180,26524,900357
180,5707,900088
180,7554,203146
180,9743,901286
180,11319,901332
180,17176,900862
180,21731,900337
180,28501,206373
180,3651,203137
180,13743,205207
180,16869,206719
180,18334,900047
180,20772,203709
180,2433,900054
180,25425,900022
180,6406,901153
180,9736,901286
180,15075,900114
180,2579,900970
180,10310,205908
180,11742,900488
180,13753,205207
180,14571,900114
180,15259,900114
180,12474,900098
180,30110,900972
180,3626,203137
180,5166,900360
180,9952,901268
180,26817,901117
180,3914,901228
180,8090,900086
180,17963,203235
180,23221,
180,24631,
180,5635,900068
180,12284,900655
180,17904,900014
180,2527,901856
180,2596,900086
180,10039,901268
180,19059,901479
180,22720,900015
180,23861,
180,25042,900010
180,27057,901241
180,8499,900064
180,11007,900339
180,11800,203697
180,13871,900870
180,2742,900040
180,7475,900534
180,13116,900544
180,24072,
